image,perturb,params,fg_iou,bg_iou,miou,fg_change(1-iou),bg_change(1-iou),miou_change(1-iou)
2010_000685.png,gaussian,gaussian_std2.0,0.553764,0.753739,0.653752,0.446236,0.246261,0.346248
2010_000788.png,gaussian,gaussian_std2.0,0.521367,0.797358,0.659363,0.478633,0.202642,0.340637
2010_000847.png,gaussian,gaussian_std2.0,0.315131,0.870283,0.592707,0.684869,0.129717,0.407293
2010_000907.png,gaussian,gaussian_std2.0,0.842627,0.961756,0.902191,0.157373,0.038244,0.097809
2010_000952.png,gaussian,gaussian_std2.0,0.585461,0.776860,0.681161,0.414539,0.223140,0.318839
2010_001011.png,gaussian,gaussian_std2.0,0.566482,0.780454,0.673468,0.433518,0.219546,0.326532
2010_001061.png,gaussian,gaussian_std2.0,0.511143,0.976016,0.743580,0.488857,0.023984,0.256420
2010_001124.png,gaussian,gaussian_std2.0,0.391646,0.924583,0.658114,0.608354,0.075417,0.341886
2010_001154.png,gaussian,gaussian_std2.0,0.545557,0.605328,0.575442,0.454443,0.394672,0.424558
2010_001195.png,gaussian,gaussian_std2.0,0.640572,0.946225,0.793398,0.359428,0.053775,0.206602
2010_001251.png,gaussian,gaussian_std2.0,0.772943,0.906226,0.839585,0.227057,0.093774,0.160415
2010_001256.png,gaussian,gaussian_std2.0,0.173052,0.959597,0.566324,0.826948,0.040403,0.433676
2010_001264.png,gaussian,gaussian_std2.0,0.588822,0.831543,0.710182,0.411178,0.168457,0.289818
2010_001279.png,gaussian,gaussian_std2.0,0.628450,0.945419,0.786935,0.371550,0.054581,0.213065
2010_001331.png,gaussian,gaussian_std2.0,0.642628,0.762169,0.702399,0.357372,0.237831,0.297601
2010_001386.png,gaussian,gaussian_std2.0,0.627435,0.826021,0.726728,0.372565,0.173979,0.273272
2010_001448.png,gaussian,gaussian_std2.0,0.699286,0.943920,0.821603,0.300714,0.056080,0.178397
2010_001522.png,gaussian,gaussian_std2.0,0.660476,0.848841,0.754659,0.339524,0.151159,0.245341
2010_001534.png,gaussian,gaussian_std2.0,0.568585,0.834395,0.701490,0.431415,0.165605,0.298510
2010_001577.png,gaussian,gaussian_std2.0,0.602816,0.900426,0.751621,0.397184,0.099574,0.248379
2010_001706.png,gaussian,gaussian_std2.0,0.468327,0.783048,0.625687,0.531673,0.216952,0.374313
2010_001773.png,gaussian,gaussian_std2.0,0.482160,0.755384,0.618772,0.517840,0.244616,0.381228
2010_001820.png,gaussian,gaussian_std2.0,0.635486,0.919085,0.777286,0.364514,0.080915,0.222714
2010_001849.png,gaussian,gaussian_std2.0,0.699389,0.771411,0.735400,0.300611,0.228589,0.264600
2010_001922.png,gaussian,gaussian_std2.0,0.468147,0.873687,0.670917,0.531853,0.126313,0.329083
2010_001944.png,gaussian,gaussian_std2.0,0.746683,0.819069,0.782876,0.253317,0.180931,0.217124
2010_002025.png,gaussian,gaussian_std2.0,0.715563,0.770786,0.743175,0.284437,0.229214,0.256825
2010_002054.png,gaussian,gaussian_std2.0,0.063972,0.961113,0.512543,0.936028,0.038887,0.487457
2010_002097.png,gaussian,gaussian_std2.0,0.675550,0.828304,0.751927,0.324450,0.171696,0.248073
2010_002154.png,gaussian,gaussian_std2.0,0.638157,0.756390,0.697273,0.361843,0.243610,0.302727
2010_002232.png,gaussian,gaussian_std2.0,0.254768,0.962217,0.608493,0.745232,0.037783,0.391507
2010_002271.png,gaussian,gaussian_std2.0,0.710542,0.866998,0.788770,0.289458,0.133002,0.211230
2010_002286.png,gaussian,gaussian_std2.0,0.454406,0.754794,0.604600,0.545594,0.245206,0.395400
2010_002310.png,gaussian,gaussian_std2.0,0.342888,0.960187,0.651538,0.657112,0.039813,0.348462
2010_002338.png,gaussian,gaussian_std2.0,0.829305,0.971042,0.900173,0.170695,0.028958,0.099827
2010_002348.png,gaussian,gaussian_std2.0,0.649732,0.680662,0.665197,0.350268,0.319338,0.334803
