image,perturb,params,fg_iou,bg_iou,miou,fg_change(1-iou),bg_change(1-iou),miou_change(1-iou)
2010_000685.png,rotation,rotation_deg5.0,0.608034,0.776681,0.692357,0.391966,0.223319,0.307643
2010_000788.png,rotation,rotation_deg5.0,0.605384,0.822424,0.713904,0.394616,0.177576,0.286096
2010_000847.png,rotation,rotation_deg5.0,0.334307,0.865033,0.599670,0.665693,0.134967,0.400330
2010_000907.png,rotation,rotation_deg5.0,0.856880,0.963019,0.909949,0.143120,0.036981,0.090051
2010_000952.png,rotation,rotation_deg5.0,0.586027,0.774446,0.680236,0.413973,0.225554,0.319764
2010_001011.png,rotation,rotation_deg5.0,0.593268,0.789163,0.691216,0.406732,0.210837,0.308784
2010_001061.png,rotation,rotation_deg5.0,0.552819,0.978016,0.765417,0.447181,0.021984,0.234583
2010_001124.png,rotation,rotation_deg5.0,0.529679,0.930217,0.729948,0.470321,0.069783,0.270052
2010_001154.png,rotation,rotation_deg5.0,0.648880,0.660798,0.654839,0.351120,0.339202,0.345161
2010_001195.png,rotation,rotation_deg5.0,0.581296,0.934738,0.758017,0.418704,0.065262,0.241983
2010_001251.png,rotation,rotation_deg5.0,0.745006,0.893865,0.819436,0.254994,0.106135,0.180564
2010_001256.png,rotation,rotation_deg5.0,0.309819,0.963458,0.636639,0.690181,0.036542,0.363361
2010_001264.png,rotation,rotation_deg5.0,0.768986,0.895384,0.832185,0.231014,0.104616,0.167815
2010_001279.png,rotation,rotation_deg5.0,0.679986,0.949958,0.814972,0.320014,0.050042,0.185028
2010_001331.png,rotation,rotation_deg5.0,0.701436,0.787452,0.744444,0.298564,0.212548,0.255556
2010_001386.png,rotation,rotation_deg5.0,0.669236,0.841643,0.755439,0.330764,0.158357,0.244561
2010_001448.png,rotation,rotation_deg5.0,0.630298,0.931930,0.781114,0.369702,0.068070,0.218886
2010_001522.png,rotation,rotation_deg5.0,0.604270,0.818103,0.711186,0.395730,0.181897,0.288814
2010_001534.png,rotation,rotation_deg5.0,0.549334,0.817188,0.683261,0.450666,0.182812,0.316739
2010_001577.png,rotation,rotation_deg5.0,0.624395,0.903446,0.763920,0.375605,0.096554,0.236080
2010_001706.png,rotation,rotation_deg5.0,0.509510,0.795974,0.652742,0.490490,0.204026,0.347258
2010_001773.png,rotation,rotation_deg5.0,0.591068,0.792227,0.691648,0.408932,0.207773,0.308352
2010_001820.png,rotation,rotation_deg5.0,0.577304,0.904031,0.740668,0.422696,0.095969,0.259332
2010_001849.png,rotation,rotation_deg5.0,0.752555,0.802377,0.777466,0.247445,0.197623,0.222534
2010_001922.png,rotation,rotation_deg5.0,0.468551,0.860874,0.664713,0.531449,0.139126,0.335287
2010_001944.png,rotation,rotation_deg5.0,0.829339,0.858789,0.844064,0.170661,0.141211,0.155936
2010_002025.png,rotation,rotation_deg5.0,0.721203,0.772070,0.746636,0.278797,0.227930,0.253364
2010_002054.png,rotation,rotation_deg5.0,0.154681,0.961934,0.558307,0.845319,0.038066,0.441693
2010_002097.png,rotation,rotation_deg5.0,0.636946,0.810575,0.723760,0.363054,0.189425,0.276240
2010_002154.png,rotation,rotation_deg5.0,0.710779,0.785697,0.748238,0.289221,0.214303,0.251762
2010_002232.png,rotation,rotation_deg5.0,0.450497,0.970067,0.710282,0.549503,0.029933,0.289718
2010_002271.png,rotation,rotation_deg5.0,0.679961,0.851840,0.765900,0.320039,0.148160,0.234100
2010_002286.png,rotation,rotation_deg5.0,0.561976,0.793101,0.677538,0.438024,0.206899,0.322462
2010_002310.png,rotation,rotation_deg5.0,0.224872,0.953268,0.589070,0.775128,0.046732,0.410930
2010_002338.png,rotation,rotation_deg5.0,0.764140,0.959465,0.861803,0.235860,0.040535,0.138197
2010_002348.png,rotation,rotation_deg5.0,0.646487,0.677408,0.661947,0.353513,0.322592,0.338053
2010_002382.png,rotation,rotation_deg5.0,0.722287,0.867457,0.794872,0.277713,0.132543,0.205128
2010_002387.png,rotation,rotation_deg5.0,0.525361,0.812376,0.668868,0.474639,0.187624,0.331132
2010_002390.png,rotation,rotation_deg5.0,0.649052,0.764108,0.706580,0.350948,0.235892,0.293420
2010_002450.png,rotation,rotation_deg5.0,0.031965,0.986912,0.509438,0.968035,0.013088,0.490562
2010_002455.png,rotation,rotation_deg5.0,0.502681,0.800970,0.651826,0.497319,0.199030,0.348174
2010_002531.png,rotation,rotation_deg5.0,0.400892,0.579382,0.490137,0.599108,0.420618,0.509863
2010_002536.png,rotation,rotation_deg5.0,0.548538,0.936608,0.742573,0.451462,0.063392,0.257427
