image,perturb,params,fg_iou,bg_iou,miou,fg_change(1-iou),bg_change(1-iou),miou_change(1-iou)
2010_000685.png,gaussian,gaussian_std2.0,0.606252,0.703804,0.655028,0.393748,0.296196,0.344972
2010_000788.png,gaussian,gaussian_std2.0,0.473349,0.745536,0.609443,0.526651,0.254464,0.390557
2010_000847.png,gaussian,gaussian_std2.0,0.287121,0.866974,0.577047,0.712879,0.133026,0.422953
2010_000907.png,gaussian,gaussian_std2.0,0.784119,0.945180,0.864649,0.215881,0.054820,0.135351
2010_000952.png,gaussian,gaussian_std2.0,0.615136,0.754223,0.684679,0.384864,0.245777,0.315321
2010_001011.png,gaussian,gaussian_std2.0,0.658082,0.720758,0.689420,0.341918,0.279242,0.310580
2010_001061.png,gaussian,gaussian_std2.0,0.363346,0.933700,0.648523,0.636654,0.066300,0.351477
2010_001124.png,gaussian,gaussian_std2.0,0.390494,0.884064,0.637279,0.609506,0.115936,0.362721
2010_001154.png,gaussian,gaussian_std2.0,0.710377,0.678273,0.694325,0.289623,0.321727,0.305675
2010_001195.png,gaussian,gaussian_std2.0,0.440285,0.890425,0.665355,0.559715,0.109575,0.334645
2010_001251.png,gaussian,gaussian_std2.0,0.747804,0.889138,0.818471,0.252196,0.110862,0.181529
2010_001256.png,gaussian,gaussian_std2.0,0.218414,0.911905,0.565159,0.781586,0.088095,0.434841
2010_001264.png,gaussian,gaussian_std2.0,0.624053,0.822857,0.723455,0.375947,0.177143,0.276545
2010_001279.png,gaussian,gaussian_std2.0,0.510810,0.864132,0.687471,0.489190,0.135868,0.312529
2010_001331.png,gaussian,gaussian_std2.0,0.380725,0.659846,0.520285,0.619275,0.340154,0.479715
2010_001386.png,gaussian,gaussian_std2.0,0.588373,0.814490,0.701431,0.411627,0.185510,0.298569
2010_001448.png,gaussian,gaussian_std2.0,0.647490,0.940796,0.794143,0.352510,0.059204,0.205857
2010_001522.png,gaussian,gaussian_std2.0,0.431635,0.811261,0.621448,0.568365,0.188739,0.378552
2010_001534.png,gaussian,gaussian_std2.0,0.620003,0.840208,0.730106,0.379997,0.159792,0.269894
2010_001577.png,gaussian,gaussian_std2.0,0.639923,0.904202,0.772062,0.360077,0.095798,0.227938
2010_001706.png,gaussian,gaussian_std2.0,0.567125,0.717721,0.642423,0.432875,0.282279,0.357577
2010_001773.png,gaussian,gaussian_std2.0,0.558848,0.739921,0.649385,0.441152,0.260079,0.350615
2010_001820.png,gaussian,gaussian_std2.0,0.594292,0.889236,0.741764,0.405708,0.110764,0.258236
2010_001849.png,gaussian,gaussian_std2.0,0.675208,0.732499,0.703854,0.324792,0.267501,0.296146
2010_001922.png,gaussian,gaussian_std2.0,0.377743,0.846914,0.612328,0.622257,0.153086,0.387672
2010_001944.png,gaussian,gaussian_std2.0,0.800420,0.804984,0.802702,0.199580,0.195016,0.197298
2010_002025.png,gaussian,gaussian_std2.0,0.762078,0.738144,0.750111,0.237922,0.261856,0.249889
2010_002054.png,gaussian,gaussian_std2.0,0.286172,0.821890,0.554031,0.713828,0.178110,0.445969
2010_002097.png,gaussian,gaussian_std2.0,0.588806,0.773509,0.681157,0.411194,0.226491,0.318843
2010_002154.png,gaussian,gaussian_std2.0,0.713446,0.773985,0.743716,0.286554,0.226015,0.256284
2010_002232.png,gaussian,gaussian_std2.0,0.360103,0.953603,0.656853,0.639897,0.046397,0.343147
2010_002271.png,gaussian,gaussian_std2.0,0.646283,0.837378,0.741830,0.353717,0.162622,0.258170
2010_002286.png,gaussian,gaussian_std2.0,0.471984,0.738603,0.605293,0.528016,0.261397,0.394707
2010_002310.png,gaussian,gaussian_std2.0,0.450265,0.967594,0.708929,0.549735,0.032406,0.291071
2010_002338.png,gaussian,gaussian_std2.0,0.851656,0.972114,0.911885,0.148344,0.027886,0.088115
2010_002348.png,gaussian,gaussian_std2.0,0.864836,0.842406,0.853621,0.135164,0.157594,0.146379
2010_002382.png,gaussian,gaussian_std2.0,0.483984,0.771006,0.627495,0.516016,0.228994,0.372505
2010_002387.png,gaussian,gaussian_std2.0,0.543914,0.795417,0.669665,0.456086,0.204583,0.330335
2010_002390.png,gaussian,gaussian_std2.0,0.615606,0.744296,0.679951,0.384394,0.255704,0.320049
2010_002450.png,gaussian,gaussian_std2.0,0.088796,0.948737,0.518766,0.911204,0.051263,0.481234
2010_002455.png,gaussian,gaussian_std2.0,0.774163,0.855617,0.814890,0.225837,0.144383,0.185110
2010_002531.png,gaussian,gaussian_std2.0,0.819741,0.785588,0.802665,0.180259,0.214412,0.197335
2010_002536.png,gaussian,gaussian_std2.0,0.418710,0.907909,0.663309,0.581290,0.092091,0.336691
2010_002551.png,gaussian,gaussian_std2.0,0.464350,0.712305,0.588327,0.535650,0.287695,0.411673
