image,perturb,params,fg_iou,bg_iou,miou,fg_change(1-iou),bg_change(1-iou),miou_change(1-iou)
2010_000685.png,rotation,rotation_deg60.0,0.574086,0.665336,0.619711,0.425914,0.334664,0.380289
2010_000788.png,rotation,rotation_deg60.0,0.364439,0.664757,0.514598,0.635561,0.335243,0.485402
2010_000847.png,rotation,rotation_deg60.0,0.245598,0.815684,0.530641,0.754402,0.184316,0.469359
2010_000907.png,rotation,rotation_deg60.0,0.555437,0.873590,0.714514,0.444563,0.126410,0.285486
2010_000952.png,rotation,rotation_deg60.0,0.623931,0.757277,0.690604,0.376069,0.242723,0.309396
2010_001011.png,rotation,rotation_deg60.0,0.544779,0.632911,0.588845,0.455221,0.367089,0.411155
2010_001061.png,rotation,rotation_deg60.0,0.229066,0.907054,0.568060,0.770934,0.092946,0.431940
2010_001124.png,rotation,rotation_deg60.0,0.166011,0.776746,0.471379,0.833989,0.223254,0.528621
2010_001154.png,rotation,rotation_deg60.0,0.614457,0.582748,0.598603,0.385543,0.417252,0.401397
2010_001195.png,rotation,rotation_deg60.0,0.487706,0.898759,0.693232,0.512294,0.101241,0.306768
2010_001251.png,rotation,rotation_deg60.0,0.472811,0.753284,0.613048,0.527189,0.246716,0.386952
2010_001256.png,rotation,rotation_deg60.0,0.184727,0.876375,0.530551,0.815273,0.123625,0.469449
2010_001264.png,rotation,rotation_deg60.0,0.715593,0.852144,0.783868,0.284407,0.147856,0.216132
2010_001279.png,rotation,rotation_deg60.0,0.102251,0.724424,0.413338,0.897749,0.275576,0.586662
2010_001331.png,rotation,rotation_deg60.0,0.317720,0.600491,0.459105,0.682280,0.399509,0.540895
2010_001386.png,rotation,rotation_deg60.0,0.454962,0.746515,0.600739,0.545038,0.253485,0.399261
2010_001448.png,rotation,rotation_deg60.0,0.278095,0.874999,0.576547,0.721905,0.125001,0.423453
2010_001522.png,rotation,rotation_deg60.0,0.173830,0.710366,0.442098,0.826170,0.289634,0.557902
2010_001534.png,rotation,rotation_deg60.0,0.331415,0.692198,0.511806,0.668585,0.307802,0.488194
2010_001577.png,rotation,rotation_deg60.0,0.524087,0.868782,0.696435,0.475913,0.131218,0.303565
2010_001706.png,rotation,rotation_deg60.0,0.460957,0.644742,0.552849,0.539043,0.355258,0.447151
2010_001773.png,rotation,rotation_deg60.0,0.469963,0.646620,0.558292,0.530037,0.353380,0.441708
2010_001820.png,rotation,rotation_deg60.0,0.573971,0.880724,0.727348,0.426029,0.119276,0.272652
2010_001849.png,rotation,rotation_deg60.0,0.528481,0.632299,0.580390,0.471519,0.367701,0.419610
2010_001922.png,rotation,rotation_deg60.0,0.353433,0.761017,0.557225,0.646567,0.238983,0.442775
2010_001944.png,rotation,rotation_deg60.0,0.847412,0.836424,0.841918,0.152588,0.163576,0.158082
2010_002025.png,rotation,rotation_deg60.0,0.690201,0.675288,0.682745,0.309799,0.324712,0.317255
2010_002054.png,rotation,rotation_deg60.0,0.373168,0.810891,0.592030,0.626832,0.189109,0.407970
2010_002097.png,rotation,rotation_deg60.0,0.434863,0.650111,0.542487,0.565137,0.349889,0.457513
2010_002154.png,rotation,rotation_deg60.0,0.670023,0.715321,0.692672,0.329977,0.284679,0.307328
2010_002232.png,rotation,rotation_deg60.0,0.521124,0.958092,0.739608,0.478876,0.041908,0.260392
2010_002271.png,rotation,rotation_deg60.0,0.574924,0.798066,0.686495,0.425076,0.201934,0.313505
2010_002286.png,rotation,rotation_deg60.0,0.422175,0.717301,0.569738,0.577825,0.282699,0.430262
2010_002310.png,rotation,rotation_deg60.0,0.228378,0.939507,0.583942,0.771622,0.060493,0.416058
2010_002338.png,rotation,rotation_deg60.0,0.502593,0.890348,0.696471,0.497407,0.109652,0.303529
2010_002348.png,rotation,rotation_deg60.0,0.681388,0.678118,0.679753,0.318612,0.321882,0.320247
2010_002382.png,rotation,rotation_deg60.0,0.369117,0.663012,0.516065,0.630883,0.336988,0.483935
2010_002387.png,rotation,rotation_deg60.0,0.356405,0.689470,0.522938,0.643595,0.310530,0.477062
2010_002390.png,rotation,rotation_deg60.0,0.613263,0.713608,0.663435,0.386737,0.286392,0.336565
2010_002450.png,rotation,rotation_deg60.0,0.100800,0.949378,0.525089,0.899200,0.050622,0.474911
2010_002455.png,rotation,rotation_deg60.0,0.426472,0.594481,0.510477,0.573528,0.405519,0.489523
2010_002531.png,rotation,rotation_deg60.0,0.534137,0.515054,0.524595,0.465863,0.484946,0.475405
2010_002536.png,rotation,rotation_deg60.0,0.141848,0.829514,0.485681,0.858152,0.170486,0.514319
2010_002551.png,rotation,rotation_deg60.0,0.376783,0.645785,0.511284,0.623217,0.354215,0.488716
2010_002573.png,rotation,rotation_deg60.0,0.448259,0.627511,0.537885,0.551741,0.372489,0.462115
2010_002786.png,rotation,rotation_deg60.0,0.530932,0.629914,0.580423,0.469068,0.370086,0.419577
2010_002794.png,rotation,rotation_deg60.0,0.167058,0.803136,0.485097,0.832942,0.196864,0.514903
