image,perturb,params,fg_iou,bg_iou,miou,fg_change(1-iou),bg_change(1-iou),miou_change(1-iou)
2010_000685.png,gaussian,gaussian_std5.0,0.507014,0.654905,0.580960,0.492986,0.345095,0.419040
2010_000788.png,gaussian,gaussian_std5.0,0.395473,0.718500,0.556986,0.604527,0.281500,0.443014
2010_000847.png,gaussian,gaussian_std5.0,0.232937,0.858269,0.545603,0.767063,0.141731,0.454397
2010_000907.png,gaussian,gaussian_std5.0,0.774376,0.942823,0.858600,0.225624,0.057177,0.141400
2010_000952.png,gaussian,gaussian_std5.0,0.580685,0.737954,0.659320,0.419315,0.262046,0.340680
2010_001011.png,gaussian,gaussian_std5.0,0.608387,0.692642,0.650515,0.391613,0.307358,0.349485
2010_001061.png,gaussian,gaussian_std5.0,0.302009,0.927774,0.614892,0.697991,0.072226,0.385108
2010_001124.png,gaussian,gaussian_std5.0,0.376276,0.881680,0.628978,0.623724,0.118320,0.371022
2010_001154.png,gaussian,gaussian_std5.0,0.650317,0.635851,0.643084,0.349683,0.364149,0.356916
2010_001195.png,gaussian,gaussian_std5.0,0.403474,0.884054,0.643764,0.596526,0.115946,0.356236
2010_001251.png,gaussian,gaussian_std5.0,0.735894,0.884506,0.810200,0.264106,0.115494,0.189800
2010_001256.png,gaussian,gaussian_std5.0,0.150781,0.905006,0.527893,0.849219,0.094994,0.472107
2010_001264.png,gaussian,gaussian_std5.0,0.508634,0.780414,0.644524,0.491366,0.219586,0.355476
2010_001279.png,gaussian,gaussian_std5.0,0.473866,0.854653,0.664259,0.526134,0.145347,0.335741
2010_001331.png,gaussian,gaussian_std5.0,0.374423,0.657560,0.515992,0.625577,0.342440,0.484008
2010_001386.png,gaussian,gaussian_std5.0,0.554281,0.802165,0.678223,0.445719,0.197835,0.321777
2010_001448.png,gaussian,gaussian_std5.0,0.591296,0.932000,0.761648,0.408704,0.068000,0.238352
2010_001522.png,gaussian,gaussian_std5.0,0.432869,0.810049,0.621459,0.567131,0.189951,0.378541
2010_001534.png,gaussian,gaussian_std5.0,0.574202,0.810167,0.692184,0.425798,0.189833,0.307816
2010_001577.png,gaussian,gaussian_std5.0,0.639360,0.904066,0.771713,0.360640,0.095934,0.228287
2010_001706.png,gaussian,gaussian_std5.0,0.509711,0.689143,0.599427,0.490289,0.310857,0.400573
2010_001773.png,gaussian,gaussian_std5.0,0.502935,0.716309,0.609622,0.497065,0.283691,0.390378
2010_001820.png,gaussian,gaussian_std5.0,0.571588,0.883758,0.727673,0.428412,0.116242,0.272327
2010_001849.png,gaussian,gaussian_std5.0,0.648345,0.716617,0.682481,0.351655,0.283383,0.317519
2010_001922.png,gaussian,gaussian_std5.0,0.338957,0.838909,0.588933,0.661043,0.161091,0.411067
2010_001944.png,gaussian,gaussian_std5.0,0.742603,0.761938,0.752270,0.257397,0.238062,0.247730
2010_002025.png,gaussian,gaussian_std5.0,0.750918,0.729179,0.740048,0.249082,0.270821,0.259952
2010_002054.png,gaussian,gaussian_std5.0,0.242614,0.813053,0.527834,0.757386,0.186947,0.472166
2010_002097.png,gaussian,gaussian_std5.0,0.585084,0.763251,0.674168,0.414916,0.236749,0.325832
2010_002154.png,gaussian,gaussian_std5.0,0.657759,0.741419,0.699589,0.342241,0.258581,0.300411
2010_002232.png,gaussian,gaussian_std5.0,0.297079,0.949266,0.623172,0.702921,0.050734,0.376828
2010_002271.png,gaussian,gaussian_std5.0,0.634672,0.832928,0.733800,0.365328,0.167072,0.266200
2010_002286.png,gaussian,gaussian_std5.0,0.381569,0.706200,0.543885,0.618431,0.293800,0.456115
2010_002310.png,gaussian,gaussian_std5.0,0.426767,0.966256,0.696511,0.573233,0.033744,0.303489
2010_002338.png,gaussian,gaussian_std5.0,0.868277,0.975161,0.921719,0.131723,0.024839,0.078281
2010_002348.png,gaussian,gaussian_std5.0,0.862826,0.839293,0.851059,0.137174,0.160707,0.148941
2010_002382.png,gaussian,gaussian_std5.0,0.455444,0.761355,0.608399,0.544556,0.238645,0.391601
2010_002387.png,gaussian,gaussian_std5.0,0.511063,0.783866,0.647465,0.488937,0.216134,0.352535
2010_002390.png,gaussian,gaussian_std5.0,0.577527,0.725844,0.651685,0.422473,0.274156,0.348315
2010_002450.png,gaussian,gaussian_std5.0,0.065454,0.947493,0.506473,0.934546,0.052507,0.493527
2010_002455.png,gaussian,gaussian_std5.0,0.777293,0.857332,0.817313,0.222707,0.142668,0.182687
2010_002531.png,gaussian,gaussian_std5.0,0.818080,0.783616,0.800848,0.181920,0.216384,0.199152
2010_002536.png,gaussian,gaussian_std5.0,0.390961,0.903935,0.647448,0.609039,0.096065,0.352552
2010_002551.png,gaussian,gaussian_std5.0,0.420419,0.695853,0.558136,0.579581,0.304147,0.441864
2010_002573.png,gaussian,gaussian_std5.0,0.467216,0.690234,0.578725,0.532784,0.309766,0.421275
2010_002786.png,gaussian,gaussian_std5.0,0.693463,0.754859,0.724161,0.306537,0.245141,0.275839
2010_002794.png,gaussian,gaussian_std5.0,0.580300,0.928591,0.754445,0.419700,0.071409,0.245555
2010_002868.png,gaussian,gaussian_std5.0,0.800856,0.804566,0.802711,0.199144,0.195434,0.197289
2010_002938.png,gaussian,gaussian_std5.0,0.466473,0.529233,0.497853,0.533527,0.470767,0.502147
2010_002988.png,gaussian,gaussian_std5.0,0.698095,0.942103,0.820099,0.301905,0.057897,0.179901
2010_003097.png,gaussian,gaussian_std5.0,0.145954,0.899564,0.522759,0.854046,0.100436,0.477241
2010_003127.png,gaussian,gaussian_std5.0,0.288223,0.778581,0.533402,0.711777,0.221419,0.466598
2010_003153.png,gaussian,gaussian_std5.0,0.638111,0.947090,0.792601,0.361889,0.052910,0.207399
2010_003170.png,gaussian,gaussian_std5.0,0.175017,0.849294,0.512155,0.824983,0.150706,0.487845
2010_003183.png,gaussian,gaussian_std5.0,0.333834,0.824981,0.579407,0.666166,0.175019,0.420593
2010_003187.png,gaussian,gaussian_std5.0,0.467166,0.597414,0.532290,0.532834,0.402586,0.467710
2010_003207.png,gaussian,gaussian_std5.0,0.433390,0.847971,0.640680,0.566610,0.152029,0.359320
2010_003250.png,gaussian,gaussian_std5.0,0.598465,0.851873,0.725169,0.401535,0.148127,0.274831
2010_003252.png,gaussian,gaussian_std5.0,0.392478,0.864735,0.628606,0.607522,0.135265,0.371394
2010_003269.png,gaussian,gaussian_std5.0,0.260580,0.677934,0.469257,0.739420,0.322066,0.530743
2010_003274.png,gaussian,gaussian_std5.0,0.622185,0.924101,0.773143,0.377815,0.075899,0.226857
2010_003342.png,gaussian,gaussian_std5.0,0.597730,0.889252,0.743491,0.402270,0.110748,0.256509
