image,perturb,params,fg_iou,bg_iou,miou,fg_change(1-iou),bg_change(1-iou),miou_change(1-iou)
2010_000685.png,rotation,rotation_deg60.0,0.593127,0.679106,0.636117,0.406873,0.320894,0.363883
2010_000788.png,rotation,rotation_deg60.0,0.477740,0.731830,0.604785,0.522260,0.268170,0.395215
2010_000847.png,rotation,rotation_deg60.0,0.164875,0.813110,0.488992,0.835125,0.186890,0.511008
2010_000907.png,rotation,rotation_deg60.0,0.395104,0.818209,0.606657,0.604896,0.181791,0.393343
2010_000952.png,rotation,rotation_deg60.0,0.579100,0.734649,0.656875,0.420900,0.265351,0.343125
2010_001011.png,rotation,rotation_deg60.0,0.577865,0.650497,0.614181,0.422135,0.349503,0.385819
2010_001061.png,rotation,rotation_deg60.0,0.357703,0.930095,0.643899,0.642297,0.069905,0.356101
2010_001124.png,rotation,rotation_deg60.0,0.146265,0.775820,0.461043,0.853735,0.224180,0.538957
2010_001154.png,rotation,rotation_deg60.0,0.539404,0.550592,0.544998,0.460596,0.449408,0.455002
2010_001195.png,rotation,rotation_deg60.0,0.449430,0.889402,0.669416,0.550570,0.110598,0.330584
2010_001251.png,rotation,rotation_deg60.0,0.447870,0.735940,0.591905,0.552130,0.264060,0.408095
2010_001256.png,rotation,rotation_deg60.0,0.401842,0.927719,0.664781,0.598158,0.072281,0.335219
2010_001264.png,rotation,rotation_deg60.0,0.440632,0.719108,0.579870,0.559368,0.280892,0.420130
2010_001279.png,rotation,rotation_deg60.0,0.168391,0.713734,0.441062,0.831609,0.286266,0.558938
2010_001331.png,rotation,rotation_deg60.0,0.395010,0.651977,0.523493,0.604990,0.348023,0.476507
2010_001386.png,rotation,rotation_deg60.0,0.415246,0.727779,0.571512,0.584754,0.272221,0.428488
2010_001448.png,rotation,rotation_deg60.0,0.274631,0.873217,0.573924,0.725369,0.126783,0.426076
2010_001522.png,rotation,rotation_deg60.0,0.256974,0.738866,0.497920,0.743026,0.261134,0.502080
2010_001534.png,rotation,rotation_deg60.0,0.347823,0.686907,0.517365,0.652177,0.313093,0.482635
2010_001577.png,rotation,rotation_deg60.0,0.218725,0.738596,0.478660,0.781275,0.261404,0.521340
2010_001706.png,rotation,rotation_deg60.0,0.526505,0.670510,0.598507,0.473495,0.329490,0.401493
2010_001773.png,rotation,rotation_deg60.0,0.584995,0.713239,0.649117,0.415005,0.286761,0.350883
2010_001820.png,rotation,rotation_deg60.0,0.314939,0.804363,0.559651,0.685061,0.195637,0.440349
2010_001849.png,rotation,rotation_deg60.0,0.678774,0.723409,0.701091,0.321226,0.276591,0.298909
2010_001922.png,rotation,rotation_deg60.0,0.329003,0.743567,0.536285,0.670997,0.256433,0.463715
2010_001944.png,rotation,rotation_deg60.0,0.769719,0.763945,0.766832,0.230281,0.236055,0.233168
2010_002025.png,rotation,rotation_deg60.0,0.453550,0.484707,0.469128,0.546450,0.515293,0.530872
2010_002054.png,rotation,rotation_deg60.0,0.299641,0.784114,0.541877,0.700359,0.215886,0.458123
2010_002097.png,rotation,rotation_deg60.0,0.540628,0.750836,0.645732,0.459372,0.249164,0.354268
2010_002154.png,rotation,rotation_deg60.0,0.514696,0.629749,0.572223,0.485304,0.370251,0.427777
2010_002232.png,rotation,rotation_deg60.0,0.179182,0.909334,0.544258,0.820818,0.090666,0.455742
2010_002271.png,rotation,rotation_deg60.0,0.613089,0.818066,0.715578,0.386911,0.181934,0.284422
2010_002286.png,rotation,rotation_deg60.0,0.230475,0.608123,0.419299,0.769525,0.391877,0.580701
2010_002310.png,rotation,rotation_deg60.0,0.177542,0.935317,0.556430,0.822458,0.064683,0.443570
2010_002338.png,rotation,rotation_deg60.0,0.573631,0.910056,0.741844,0.426369,0.089944,0.258156
2010_002348.png,rotation,rotation_deg60.0,0.701805,0.691230,0.696518,0.298195,0.308770,0.303482
2010_002382.png,rotation,rotation_deg60.0,0.352187,0.650235,0.501211,0.647813,0.349765,0.498789
2010_002387.png,rotation,rotation_deg60.0,0.352860,0.688605,0.520732,0.647140,0.311395,0.479268
2010_002390.png,rotation,rotation_deg60.0,0.618837,0.731018,0.674927,0.381163,0.268982,0.325073
2010_002450.png,rotation,rotation_deg60.0,0.022023,0.939999,0.481011,0.977977,0.060001,0.518989
2010_002455.png,rotation,rotation_deg60.0,0.375907,0.548321,0.462114,0.624093,0.451679,0.537886
2010_002531.png,rotation,rotation_deg60.0,0.603594,0.578541,0.591067,0.396406,0.421459,0.408933
2010_002536.png,rotation,rotation_deg60.0,0.441762,0.900367,0.671064,0.558238,0.099633,0.328936
2010_002551.png,rotation,rotation_deg60.0,0.415404,0.650179,0.532791,0.584596,0.349821,0.467209
2010_002573.png,rotation,rotation_deg60.0,0.434692,0.647820,0.541256,0.565308,0.352180,0.458744
2010_002786.png,rotation,rotation_deg60.0,0.553067,0.635536,0.594302,0.446933,0.364464,0.405698
2010_002794.png,rotation,rotation_deg60.0,0.162605,0.803245,0.482925,0.837395,0.196755,0.517075
2010_002868.png,rotation,rotation_deg60.0,0.614730,0.623169,0.618949,0.385270,0.376831,0.381051
2010_002938.png,rotation,rotation_deg60.0,0.412525,0.483206,0.447865,0.587475,0.516794,0.552135
2010_002988.png,rotation,rotation_deg60.0,0.403100,0.840776,0.621938,0.596900,0.159224,0.378062
2010_003097.png,rotation,rotation_deg60.0,0.352532,0.906694,0.629613,0.647468,0.093306,0.370387
2010_003127.png,rotation,rotation_deg60.0,0.339364,0.724035,0.531699,0.660636,0.275965,0.468301
2010_003153.png,rotation,rotation_deg60.0,0.195608,0.834383,0.514995,0.804392,0.165617,0.485005
2010_003170.png,rotation,rotation_deg60.0,0.203081,0.803852,0.503466,0.796919,0.196148,0.496534
2010_003183.png,rotation,rotation_deg60.0,0.476551,0.850618,0.663585,0.523449,0.149382,0.336415
2010_003187.png,rotation,rotation_deg60.0,0.399863,0.559732,0.479797,0.600137,0.440268,0.520203
2010_003207.png,rotation,rotation_deg60.0,0.482190,0.847535,0.664863,0.517810,0.152465,0.335137
2010_003250.png,rotation,rotation_deg60.0,0.180533,0.711006,0.445769,0.819467,0.288994,0.554231
2010_003252.png,rotation,rotation_deg60.0,0.118138,0.694194,0.406166,0.881862,0.305806,0.593834
2010_003269.png,rotation,rotation_deg60.0,0.334031,0.662470,0.498250,0.665969,0.337530,0.501750
2010_003274.png,rotation,rotation_deg60.0,0.325152,0.812794,0.568973,0.674848,0.187206,0.431027
2010_003342.png,rotation,rotation_deg60.0,0.344848,0.828518,0.586683,0.655152,0.171482,0.413317
2010_003362.png,rotation,rotation_deg60.0,0.507046,0.902267,0.704657,0.492954,0.097733,0.295343
2010_003402.png,rotation,rotation_deg60.0,0.326944,0.664845,0.495895,0.673056,0.335155,0.504105
2010_003418.png,rotation,rotation_deg60.0,0.342261,0.968043,0.655152,0.657739,0.031957,0.344848
2010_003529.png,rotation,rotation_deg60.0,0.253093,0.732822,0.492958,0.746907,0.267178,0.507042
2010_003532.png,rotation,rotation_deg60.0,0.486621,0.732568,0.609595,0.513379,0.267432,0.390405
2010_003547.png,rotation,rotation_deg60.0,0.241283,0.654291,0.447787,0.758717,0.345709,0.552213
2010_003675.png,rotation,rotation_deg60.0,0.327477,0.738046,0.532762,0.672523,0.261954,0.467238
2010_003771.png,rotation,rotation_deg60.0,0.497758,0.855198,0.676478,0.502242,0.144802,0.323522
2010_003772.png,rotation,rotation_deg60.0,0.608241,0.771700,0.689970,0.391759,0.228300,0.310030
2010_003798.png,rotation,rotation_deg60.0,0.382489,0.867340,0.624915,0.617511,0.132660,0.375085
2010_003799.png,rotation,rotation_deg60.0,0.290133,0.808623,0.549378,0.709867,0.191377,0.450622
2010_003813.png,rotation,rotation_deg60.0,0.535814,0.725681,0.630747,0.464186,0.274319,0.369253
2010_003887.png,rotation,rotation_deg60.0,0.202330,0.802151,0.502241,0.797670,0.197849,0.497759
2010_003899.png,rotation,rotation_deg60.0,0.320800,0.810318,0.565559,0.679200,0.189682,0.434441
2010_003911.png,rotation,rotation_deg60.0,0.000000,0.974805,0.487403,1.000000,0.025195,0.512597
