combo_id,fold,epoch_best,train_loss_best,miou,dice_fg,iou_fg,iou_bg,precision,recall,f1,accuracy,tp,fp,fn,tn,params_json,checkpoint_path
1,1,20,1.528804,0.185282,0.276177,0.160212,0.210352,0.161879,0.939598,0.276177,0.313736,888049,4597827,57088,1240012,"{""width"": 8, ""lr"": 1e-05, ""bs"": 4, ""size"": 384, ""epochs"": 20, ""early_stop"": 5, ""lambda_rw"": 0.1, ""rw_beta"": 60, ""pl_hi"": 0.9, ""pl_lo"": 0.1, ""threshold"": 0.4}",outputs_grid/gs_combo1_fold1/best.pt
1,2,2,1.747862,0.078723,0.270756,0.156575,0.000313,0.156585,0.999581,0.270756,0.156797,1061764,5718978,445,1789,"{""width"": 8, ""lr"": 1e-05, ""bs"": 4, ""size"": 384, ""epochs"": 20, ""early_stop"": 5, ""lambda_rw"": 0.1, ""rw_beta"": 60, ""pl_hi"": 0.9, ""pl_lo"": 0.1, ""threshold"": 0.4}",outputs_grid/gs_combo1_fold2/best.pt
1,3,6,1.696897,0.086111,0.281745,0.163971,0.004871,0.164032,0.997761,0.281745,0.167379,1107681,5645165,2486,27644,"{""width"": 8, ""lr"": 1e-05, ""bs"": 4, ""size"": 384, ""epochs"": 20, ""early_stop"": 5, ""lambda_rw"": 0.1, ""rw_beta"": 60, ""pl_hi"": 0.9, ""pl_lo"": 0.1, ""threshold"": 0.4}",outputs_grid/gs_combo1_fold3/best.pt
1,4,13,1.472959,0.315340,0.337380,0.202920,0.416303,0.209500,0.865966,0.337380,0.491818,858457,3239181,132872,2405010,"{""width"": 8, ""lr"": 1e-05, ""bs"": 4, ""size"": 384, ""epochs"": 20, ""early_stop"": 5, ""lambda_rw"": 0.1, ""rw_beta"": 60, ""pl_hi"": 0.9, ""pl_lo"": 0.1, ""threshold"": 0.4}",outputs_grid/gs_combo1_fold4/best.pt
1,5,4,1.741838,0.086859,0.276131,0.160181,0.010882,0.160246,0.997469,0.276131,0.167870,1053154,5518944,2672,60750,"{""width"": 8, ""lr"": 1e-05, ""bs"": 4, ""size"": 384, ""epochs"": 20, ""early_stop"": 5, ""lambda_rw"": 0.1, ""rw_beta"": 60, ""pl_hi"": 0.9, ""pl_lo"": 0.1, ""threshold"": 0.4}",outputs_grid/gs_combo1_fold5/best.pt
2,1,20,1.403557,0.467665,0.306383,0.180905,0.754426,0.261824,0.369221,0.306383,0.767060,348964,983856,596173,4853983,"{""width"": 8, ""lr"": 1e-05, ""bs"": 4, ""size"": 384, ""epochs"": 20, ""early_stop"": 5, ""lambda_rw"": 0.1, ""rw_beta"": 60, ""pl_hi"": 0.9, ""pl_lo"": 0.1, ""threshold"": 0.5}",outputs_grid/gs_combo2_fold1/best.pt
2,2,19,1.619906,0.416062,0.392466,0.244142,0.582139,0.264612,0.759381,0.392466,0.631831,806621,2241696,255588,3479071,"{""width"": 8, ""lr"": 1e-05, ""bs"": 4, ""size"": 384, ""epochs"": 20, ""early_stop"": 5, ""lambda_rw"": 0.1, ""rw_beta"": 60, ""pl_hi"": 0.9, ""pl_lo"": 0.1, ""threshold"": 0.5}",outputs_grid/gs_combo2_fold2/best.pt
2,3,19,1.478188,0.487648,0.346135,0.209288,0.749657,0.318028,0.379692,0.346135,0.765214,421521,903902,688646,4768907,"{""width"": 8, ""lr"": 1e-05, ""bs"": 4, ""size"": 384, ""epochs"": 20, ""early_stop"": 5, ""lambda_rw"": 0.1, ""rw_beta"": 60, ""pl_hi"": 0.9, ""pl_lo"": 0.1, ""threshold"": 0.5}",outputs_grid/gs_combo2_fold3/best.pt
2,4,20,1.517269,0.473749,0.337312,0.202872,0.744625,0.287259,0.408490,0.337312,0.760210,404948,1004749,586381,4639442,"{""width"": 8, ""lr"": 1e-05, ""bs"": 4, ""size"": 384, ""epochs"": 20, ""early_stop"": 5, ""lambda_rw"": 0.1, ""rw_beta"": 60, ""pl_hi"": 0.9, ""pl_lo"": 0.1, ""threshold"": 0.5}",outputs_grid/gs_combo2_fold4/best.pt
2,5,10,1.510981,0.424841,0.329578,0.197302,0.643153,0.244190,0.506793,0.329578,0.671929,535085,1656178,520741,3923516,"{""width"": 8, ""lr"": 1e-05, ""bs"": 4, ""size"": 384, ""epochs"": 20, ""early_stop"": 5, ""lambda_rw"": 0.1, ""rw_beta"": 60, ""pl_hi"": 0.9, ""pl_lo"": 0.1, ""threshold"": 0.5}",outputs_grid/gs_combo2_fold5/best.pt
3,1,1,1.606566,0.429960,0.015577,0.007849,0.849925,0.091724,0.008511,0.015577,0.850103,8044,79654,937093,5758185,"{""width"": 8, ""lr"": 1e-05, ""bs"": 4, ""size"": 384, ""epochs"": 20, ""early_stop"": 5, ""lambda_rw"": 0.1, ""rw_beta"": 60, ""pl_hi"": 0.9, ""pl_lo"": 0.1, ""threshold"": 0.6}",outputs_grid/gs_combo3_fold1/best.pt
3,2,20,1.716078,0.411707,0.339603,0.204531,0.618884,0.241864,0.569908,0.339603,0.652897,605361,1897541,456848,3823226,"{""width"": 8, ""lr"": 1e-05, ""bs"": 4, ""size"": 384, ""epochs"": 20, ""early_stop"": 5, ""lambda_rw"": 0.1, ""rw_beta"": 60, ""pl_hi"": 0.9, ""pl_lo"": 0.1, ""threshold"": 0.6}",outputs_grid/gs_combo3_fold2/best.pt
3,3,20,1.548820,0.462289,0.202918,0.112916,0.811663,0.349005,0.143043,0.202918,0.816072,158802,296212,951365,5376597,"{""width"": 8, ""lr"": 1e-05, ""bs"": 4, ""size"": 384, ""epochs"": 20, ""early_stop"": 5, ""lambda_rw"": 0.1, ""rw_beta"": 60, ""pl_hi"": 0.9, ""pl_lo"": 0.1, ""threshold"": 0.6}",outputs_grid/gs_combo3_fold3/best.pt
